,steering,throttle,model_steering,model_throttle
0,-0.12611,0.47024,-0.15118173,0.4581701
1,-0.0849,0.47284,-0.03684702,0.49196216
2,-0.37649,-0.0,-0.4399534,0.38712808
3,-0.4086,0.47415,-0.5040003,0.479375
4,-0.16429000000000002,0.47544,-0.15847492,0.43898496
5,-0.13045,0.47024,-0.16049598,0.47953796
6,-0.25499,0.47024,-0.30790293,0.44051176
7,-0.48713999999999996,0.47153,-0.47653654,0.4486293
8,-0.4715,0.47024,-0.48776805,0.31383622
9,-0.48323,0.47935,-0.48072997,0.4923916
10,-0.27192,0.47284,-0.2533855,0.48301366
11,-0.18904,0.01855,-0.26681805,0.30142024
12,-0.061039999999999976,0.47675,-0.0012374962,0.37806493
13,-0.09272000000000001,0.47024,-0.35557407,0.42897415
14,-0.11959999999999997,0.47024,-0.05242587,0.46832812
15,-0.31878,0.47153,-0.3938945,0.49652526
16,-0.4663,0.47675,-0.4115464,0.36303514
17,-0.49062,0.47024,-0.5113426,0.48831514
18,-0.08446999999999999,0.47284,-0.05022789,0.479462
19,-0.40252,0.01204,-0.47566164,-0.034265302
20,-0.16952,0.47544,-0.26309547,0.4694352
21,-0.0,0.47153,-0.19420037,0.41612545
22,-0.24631999999999998,0.47803,-0.23969612,0.4605985
23,-0.13176,-0.0,-0.17922632,0.26867092
24,-0.14997,0.47675,-0.15686275,0.44828677
25,-0.22637,0.47544,-0.26456168,0.489791
26,-0.19252,0.47153,-0.10370594,0.46995178
27,-0.34655,0.47024,-0.32706353,0.45722172
28,-0.25631000000000004,0.47024,-0.21882673,0.46908817
29,-0.44028,-0.0,-0.4711664,0.41312352
30,-0.025880000000000014,-0.0,0.015499189,0.20452349
31,-0.26324000000000003,0.47284,-0.19742194,0.4580009
32,-0.21204,0.46893,-0.27182934,0.48122975
33,-0.48191000000000006,-0.0,-0.5014909,0.19692303
34,-0.38168,0.47153,-0.28888038,0.46506697
35,-0.34783000000000003,0.47153,-0.2519141,0.42198747
36,-0.22115,0.47024,-0.16788033,0.4577794
37,-0.29275,0.47153,-0.3644962,0.48755437
38,-0.44678,0.46893,-0.4570214,0.49612626
39,-0.34133,0.47544,-0.21524833,0.45773304
40,-0.16909000000000002,-0.0,-0.1916952,0.34694836
41,-0.13435999999999998,0.27366,-0.11527499,0.45360202
42,-0.04020000000000002,0.47544,-0.032472175,0.4389066
43,-0.33962000000000003,0.46765,-0.43736774,0.46570015
44,-0.37606,0.47544,-0.43138635,0.4879126
45,-0.057130000000000014,0.47544,-0.09184063,0.4749192
46,-0.15608,0.47544,-0.19409934,0.46935415
47,-0.27711,0.46502,-0.2807173,0.4655071
48,-0.25674,0.47153,-0.2559842,0.4610387
49,-0.26061999999999996,0.47153,-0.24182747,0.45969
50,-0.0966,0.47415,-0.07683877,0.44999897
51,-0.36305,0.47024,-0.38096336,0.45745742
52,-0.37215,0.47153,-0.45957908,0.49247864
53,-0.2411,0.47153,-0.16246165,0.4765557
54,-0.3266,0.47284,-0.38431573,0.47568464
55,-0.30836,0.46374,-0.330295,0.4908447
56,-0.17471,0.47544,-0.14523317,0.4737729
57,-0.014180000000000024,-0.0,-0.07003703,0.46618864
58,-0.22025999999999998,0.47024,-0.14361876,0.4331767
59,-0.32529,0.47153,-0.35029316,0.4104581
60,-0.08098999999999999,0.46765,-0.055277266,0.50054336
61,-0.14303,0.47415,-0.08308395,0.45500407
62,-0.19771,0.45983,-0.2313576,0.47599652
63,-0.27885,0.47024,-0.22216757,0.4251227
64,-0.28796,0.46893,-0.2752842,0.4186705
65,-0.21595,0.47024,-0.20722763,0.4856036
66,-0.20205,-0.0,-0.11094482,0.29796612
67,-0.10399000000000004,0.47024,-0.12758856,0.39481467
68,-0.34524,0.46893,-0.33444783,0.4478979
69,-0.20856,0.47153,-0.24666746,0.47079855
70,-0.34741,0.47024,-0.40858555,0.50923723
71,-0.43245,0.47024,-0.499307,0.47114822
