,,,beacon,x,y,,,,,,,
1523149545207,2093,2093,5,0.714,-0.004,1.85,1,0,3,0,4,0
1523149545207,0,2093,1,0,0,0,,,,,,
1523149545207,0,2093,2,0.958,0.063,1.85,1,0,3,0,4,0
1523149545207,0,2093,3,-0.005,0.718,0,,,,,,
1523149545207,0,2093,4,1.238,0,0,,,,,,
1523149545207,0,2093,5,0.714,-0.004,1.85,1,0,3,0,4,0
1523149545223,16,2109,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545223,0,2109,5,0.714,-0.004,1.85,1,0.722,3,1.025,4,0.536
1523149545239,16,2125,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545239,0,2125,5,0.714,-0.004,1.85,1,0.722,3,1.025,4,0.536
1523149545239,0,2125,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545254,15,2140,5,0.714,-0.004,1.85,1,0.722,3,1.025,4,0.536
1523149545254,0,2140,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545254,0,2140,5,0.714,-0.004,1.85,1,0.722,3,1.025,4,0.536
1523149545254,0,2140,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.536
1523149545270,16,2156,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545270,0,2156,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.536
1523149545270,0,2156,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545317,47,2203,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545317,0,2203,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545332,15,2218,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545332,0,2218,2,0.958,0.063,1.85,1,0.965,3,1.171,4,0.314
1523149545348,16,2234,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545348,0,2234,2,0.956,0.059,1.85,1,0.965,3,1.171,4,0.314
1523149545348,0,2234,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545364,16,2250,2,0.956,0.059,1.85,1,0.965,3,1.171,4,0.314
1523149545364,0,2250,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545411,47,2297,2,0.956,0.059,1.85,1,0.965,3,1.171,4,0.314
1523149545411,0,2297,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545411,0,2297,2,0.956,0.059,1.85,1,0.965,3,1.171,4,0.314
1523149545411,0,2297,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.314
1523149545426,15,2312,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545426,0,2312,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.314
1523149545473,47,2359,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545473,0,2359,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149545473,0,2359,5,0.714,-0.004,1.85,1,0.722,3,1.028,4,0.535
1523149545504,31,2390,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149545504,0,2390,5,0.714,-0.008,1.85,1,0.722,3,1.028,4,0.535
1523149545504,0,2390,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149545520,16,2406,5,0.714,-0.008,1.85,1,0.722,3,1.028,4,0.535
1523149545520,0,2406,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149546832,1312,3718,5,0.714,-0.008,1.85,1,0.722,3,1.028,4,0.535
1523149546832,0,3718,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149546832,0,3718,5,0.714,-0.008,1.85,1,0.722,3,1.028,4,0.535
1523149546942,110,3828,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149546942,0,3828,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149546973,31,3859,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149546973,0,3859,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149546973,0,3859,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547051,78,3937,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547051,0,3937,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547332,281,4218,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547332,0,4218,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547410,78,4296,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547410,0,4296,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547410,0,4296,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547504,94,4390,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547504,0,4390,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547551,47,4437,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547551,0,4437,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547551,0,4437,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547598,47,4484,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547598,0,4484,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547613,15,4499,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149547613,0,4499,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149547613,0,4499,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548004,391,4890,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548004,0,4890,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548285,281,5171,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548285,0,5171,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548285,0,5171,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548332,47,5218,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548332,0,5218,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548535,203,5421,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548535,0,5421,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548551,16,5437,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
1523149548551,0,5437,2,0.956,0.059,1.85,1,0.97,3,1.164,4,0.313
1523149548551,0,5437,5,0.714,-0.008,1.85,1,0.724,3,1.028,4,0.541
